english,sinhala
I thought Tom had enough money to buy everything he needed.,මම හිතුවේ ටම්ට අවශ්ය සෑම දෙයක්ම මිලදී ගැනීමට තරම් මුදලක් තිබීමයි.
"I thought he would be angry but, to my surprise, he smiled.","මම හිතුවේ ඔහු තරහෙන් ඉන්නවා, නමුත් මගේ පුදුමයට කරුණක් නම්, ඔහු සිනාසුණා."
I thought you were going to keep Tom here until I got back.,මම හිතුවේ ඔයා ආපහු ආවා යන තුරු ඔබ ටොම්ව මෙතනට තියාගන්න යනවා කියලා.
I used to dream about being able to play chess really well.,චෙස් හොඳින් ක්රීඩා කිරීමට මට හැකි වීම ගැන මම සිහින මැව්වා.
"I waited half an hour for my friend, but he didn't turn up.","මම මගේ මිතුරා වෙනුවෙන් පැය භාගයක් බලා සිටියෙමි, නමුත් ඔහු හැරී ගියේ නැත."
I want to arrive at Kennedy Airport early in the afternoon.,මට දහවල් කාලයේ කෙනඩි ගුවන්තොටුපළට පැමිණීමට අවශ්යයි.
"I want to be part of the solution, not part of the problem.",ගැටලුවේ කොටසක් නොව විසඳුමේ කොටසක් වීමට මට අවශ්යය.
I want to find out what Mary is going to wear to the dance.,මරියා නැටුමට ඇඳීමට යන්නේ කුමක්දැයි සොයා බැලීමට මට අවශ්යය.
I want to read as many English books as possible this year.,මට මේ වසරේ හැකි තරම් ඉංග්රීසි පොත් කිහිපයක් කියවීමට අවශ්යයි.
"I want to travel this summer, but I don't know where to go.","මට මේ ගිම්හානයේ ගමන් කිරීමට අවශ්යයි, නමුත් මම දන්නේ නැහැ කොහෙද යා යුත්තේ කියලා."
"I wanted a key to Tom's house, but he wouldn't give me one.","මට ටොම්ගේ ගෙදරට යතුරක් ඕන, නමුත් ඔහු මට එකක් දෙන්නේ නැහැ."
"I was planning to call him, but changed my mind and didn't.","මම ඔහුට කතා කිරීමට සැලසුම් කළෙමි, නමුත් මගේ අදහස වෙනස් කර නැත."
I was relieved that you could understand my broken English.,මගේ බිඳුණු ඉංග්රීසි ඔබට තේරුම් ගත හැකි වීම ගැන මට සහනයක් ලැබුණි.
I was tied up until very late getting some things in order.,ඉතා ප්රමාද වන තුරු මා බැඳ තැබිය හැකි විය.
I won't divorce you unless you give me a legitimate reason.,ඔබ මට නීත්යානුකූල හේතුවක් ලබා දෙන්නේ නම් මිස මම දික්කසාද නොවෙමි.
I wonder if there'll be more snow this year than last year.,පසුගිය වසරට වඩා මේ වසරේ වඩා හිම ඇති වී ඇත්දැයි මම කල්පනා කරමි.
I would like to have this car repaired as soon as possible.,මෙම මෝටර් රථය හැකි ඉක්මනින් අලුත්වැඩියා කිරීමට මම කැමතියි.
I would like to know how much money there is in my account.,මගේ ගිණුමේ කොපමණ මුදලක් තිබේදැයි දැන ගැනීමට මම කැමතියි.
I would really like to know why he did something like that.,ඔහු ඒ වගේ දෙයක් කළේ ඇයි කියලා දැනගන්න මම ඇත්තටම කැමතියි.
I wouldn't have recognized Tom if he hadn't been with Mary.,ඔහු මේරි සමඟ නොසිටියේ නම් මම ටොම්ව හඳුනා නොගනු ඇත.
I'd like it if you would clean this room before I get back.,මම නැවත පැමිණීමට පෙර මෙම කාමරය පිරිසිදු කළහොත් මම කැමතියි.
"I'd like to stay and chat, but I've got a meeting to go to.","මම ඉන්න කැමතියි, නමුත් කතාබහට යන්න මට රැස්වීමක් තියෙනවා."
I'd rather clean my room than spend time doing my homework.,මගේ ගෙදර වැඩ කිරීමට කාලය ගත කිරීමට වඩා මම මගේ කාමරය පිරිසිදු කරමි.
I'd rather not eat the meat from an animal that was cloned.,ක්ලෝන කළ සතෙකුගෙන් මස් අනුභව නොකරමි.
"I'll eat my hat if, by some chance, my team loses to yours.","යම් අවස්ථාවක් නම්, මගේ කණ්ඩායම ඔබට අහිමි වුවහොත් මගේ තොප්පිය අනුභව කරන්නෙමි."
I'm curious to know why they removed my name from the list.,ඔවුන් මගේ නම ලැයිස්තුවෙන් ඉවත් කළේ ඇයිදැයි දැන ගැනීමට මට කුතුහලයක් ඇති වේ.
"I'm sorry to disturb you, but there's a phone call for you.","ඔබට කරදර කිරීම ගැන මට කණගාටුයි, නමුත් ඔබ වෙනුවෙන් දුරකථන ඇමතුමක් තිබේ."
I'm very busy so probably I won't be able to come tomorrow.,"මම ඉතා කාර්යබහුලයි, සමහරවිට මට හෙට එන්න බැහැ."
I've never seen two people so much in love as Tom and Mary.,ටොම් සහ මේරි මෙන් දෙදෙනෙකු ආදරය කරන දෙදෙනෙකු මම දැක නැත.
I've sometimes taken time off work to watch the Super Bowl.,සුපිරි පාත්රය නැරඹීම සඳහා මම සමහර විට රැකියාවෙන් කාලය ගත කර ඇත්තෙමි.
"If I had had enough time, I could have seen more of London.","මට ප්රමාණවත් කාලයක් තිබුනේ නම්, මට ලන්ඩන් බොහෝ දේ දැක ගත හැකි විය."
"If I win the lottery, I'll be able to live high on the hog.","මම ලොතරැයිය දිනුවොත්, මට හොග් මත ඉහළ ජීවත් වීමට හැකි වනු ඇත."
"If people weren't such jerks, maybe we'd all be better off.","මිනිසුන් එතරම් විහිළුවක් නොවන්නේ නම්, සමහර විට අපි සියල්ලෝම වඩා හොඳ වනු ඇත."
"If she gets some antibiotics and sleeps, she'll get better.","ඇයට ප්රතිජීවක හා නින්දක් ලබා ගන්නේ නම්, ඇය හොඳ වේවි."
"If you are going abroad, it's necessary to have a passport.","ඔබ විදේශගතව සිටින්නේ නම්, විදේශ ගමන් බලපත්රයක් තිබීම අවශ්ය වේ."
"If you could choose the genes for your children, would you?","ඔබට ඔබේ දරුවන් සඳහා ජාන තෝරා ගත හැකි නම්, එහෙම නේද?"
"If you don't want to attend the meeting, you don't have to.","ඔබට රැස්වීමට සහභාගී වීමට අවශ්ය නැතිනම්, ඔබට අවශ්ය නැත."
"If you go by plane, you won't be able to take much luggage.","ඔබ ගුවන් යානයකින් ගියහොත්, ඔබට බොහෝ ගමන් මලු ගැනීමට නොහැකි වනු ඇත."
"If you have any doubts, let me know without any hesitation.","ඔබට කිසියම් සැකයක් ඇත්නම්, කිසිදු පැකිලීමකින් තොරව මට දන්වන්න."
"If you tell the truth, you don't have to remember anything.","ඔබ සත්යය පැවසුවහොත්, ඔබට කිසිවක් මතක තබා ගත යුතු නැත."
"If you want to go there, I'm not going to try and stop you.","ඔබට එහි යාමට අවශ්ය නම්, මම ඔබව නැවැත්වීමට උත්සාහ නොකරමි."
"In baseball, the pitcher is the player who throws the ball.",බේස්බෝල් හි තණතීරුව පන්දුව විසි කරන ක්රීඩකයා ය.
"In the United States, a census takes place every ten years.",එක්සත් ජනපදයේ සෑම වසර දහයකට වරක් සංගණනයක් සිදු වේ.
"In times like this, there's nothing like a hair of the dog.","මේ වගේ කාලවලදී, බල්ලාගේ හිසකෙස් වගේ දෙයක් නැහැ."
"Instead of eating real food, we just ate junk food all day.",සැබෑ ආහාර අනුභව කරනවා වෙනුවට අපි දවස පුරාම කුණු කෑම කෑවා.
"Instead of going himself, he sent his brother in his place.","ඔහු තමාටම යෑම වෙනුවට, තම සහෝදරයාව ඔහුගේ ස්ථානයේ යැවීය."
"Intended for children, this is a book often read by adults.","ළමයින් සඳහා අදහස් කරන, මෙය බොහෝ විට වැඩිහිටියන් විසින් කියවන ලද පොතකි."
Is it right for a doctor to decide when someone should die?,යමෙකු මිය යා යුතු විට වෛද්යවරයකු තීරණය කිරීම සුදුසු ද?
It didn't take Tom long to realize he wasn't welcome there.,ඔහු එහි පිළිගත්තේ නැති බව වටහා ගැනීමට එය දිගු කාලයක් ගත නොවීය.
It goes without saying that smoking is bad for your health.,දුම්පානය ඔබේ සෞඛ්යයට නරක යැයි නොකියයි.
It is not good for your health to shut yourself in all day.,ඔබේ සෞඛ්යයට සෑම දිනකම ඔබව වසා ගැනීම හොඳ නැත.
It is utterly impossible to finish the work within a month.,මාසයක් ඇතුළත වැඩ අවසන් කිරීම සම්පූර්ණයෙන්ම කළ නොහැකිය.
It looks as if Tom is trying to slow down the negotiations.,ටොම් සාකච්ඡා මන්දගාමී කිරීමට උත්සාහ කරන බවක් පෙනේ.
It seems that the children will have to sleep on the floor.,දරුවන්ට බිම නිදා ගැනීමට සිදුවන බව පෙනේ.
It was apparent that he did not understand what I had said.,මා කී දේ තමාට නොතේරෙන බව පැහැදිලිය.
It was obvious that the driver had not been careful enough.,රියදුරු ප්රමාණවත් තරම් ප්රවේශම් නොවූ බව පැහැදිලිය.
It's a crying shame that they weren't insured against fire.,ඔවුන් ගින්නට එරෙහිව රක්ෂණය නොකිරීම ලැජ්ජාවකි.
It's an American tradition to make a wish on your birthday.,එය ඔබගේ උපන්දිනය සඳහා ප්රාර්ථනා කිරීම ඇමරිකානු සම්ප්රදායකි.
It's dangerous to ignore the signal at a railroad crossing.,රේල් පාර හරස් මාර්ගයක සං signal ාව නොසලකා හැරීම භයානක ය.
It's is so difficult that I have decided to give up trying.,මම උත්සාහ කිරීම අත්හැරීමට තීරණය කර තිබීම එතරම්ම දුෂ්කර ය.
Japanese is often said to be a difficult language to learn.,ජපන් බොහෝ විට ඉගෙන ගැනීමට අපහසු භාෂාවක් යැයි කියනු ලැබේ.
"Judging from the look of the sky, it will be fine tomorrow.",අහසෙහි පෙනුමෙන් විනිශ්චය කිරීම හෙට හොඳයි.
Last night someone broke into the small shop near my house.,ඊයේ රාත්රියේ කවුරුහරි මගේ නිවස අසල ඇති කුඩා සාප්පුවට කඩා වැදුණා.
Leaving something unfinished is the worst thing you can do.,නිම නොකළ දෙයක් හැර යාම ඔබට කළ හැකි නරකම දෙයයි.
Life is what happens to us while we are making other plans.,අප වෙනත් සැලසුම් කරන අතරතුර ජීවිතය අපට සිදු වන්නේ එයයි.
Lincoln is one of the greatest figures in American history.,ලින්කන් යනු ඇමරිකානු ඉතිහාසයේ ශ්රේෂ් greatest තම පුද්ගලයින්ගෙන් එකකි.
"Living as I do in a remote village, I seldom have visitors.","මා දුර බැහැර ගමක ජීවත් වන විට ජීවත් වන විට, මට කලාතුරකින් අමුත්තන් සිටී."
Many Native American communities need doctors and teachers.,බොහෝ ස්වදේශික ඇමරිකානු ප්රජාවන්ට වෛද්යවරුන් සහ ගුරුවරුන් අවශ්ය වේ.
Many parents believe that there is too much violence on TV.,බොහෝ දෙමව්පියන් විශ්වාස කරන්නේ රූපවාහිනියේ ඕනෑවට වඩා ප්රචණ්ඩ ක්රියා ඇති බවයි.
Mary always assists her boyfriend in doing his assignments.,මරියා නිතරම තම පෙම්වතාට තම පැවරුම් කරනවා.
Mary asked Tom to turn off the computer and prepare dinner.,මරියා ටොම්ගෙන් ඇසුවේ පරිගණකය ක්රියා විරහිත කර රාත්රී ආහාරය පිළියෙළ කරන ලෙසයි.
"Mary resembles her mother in looks, but not in personality.","මේරි ඇගේ මවට පෙනේ, නමුත් පෞරුෂයේ නොවේ."
Modern man looks on money as a means to getting more money.,නවීන මිනිසා වැඩි මුදලක් ලබා ගැනීමේ මාධ්යයක් ලෙස මුදල් දෙස බලයි.
Most living creatures in the sea are affected by pollution.,මුහුදේ බොහෝ ජීවීන් දූෂණයෙන් පීඩාවට පත් වේ.
Mt. Everest is higher than any other mountain in the world.,ගල්. එවරස්ට් ලෝකයේ වෙනත් ඕනෑම කන්දකට වඩා උසස් ය.
"My brother bought a used car, so it was not very expensive.","මගේ සහෝදරයා පාවිච්චි කළ මෝටර් රථයක් මිල දී ගත්තා, එබැවින් එය එතරම් මිල අධික නොවීය."
My father died when the cherry blossoms were at their best.,චෙරි මල් පිපෙන විට මගේ පියා මිය ගියේය.
My grandmother had been sick for a week when I visited her.,මම ඇය බැලීමට ගිය විට මගේ ආච්චි සතියක් අසනීපව සිටියා.
My sister has been studying in her room since this morning.,මගේ සහෝදරිය අද අලුයම ඇගේ කාමරයේ ඉගෙනුම ලබමින් සිටියා.
My teacher told me to turn in my paper as soon as possible.,මගේ ගුරුවරයා මට කිව්වා හැකි ඉක්මනින් මගේ කඩදාසි හරවන්න කියලා.
Nearly a thousand people participated in the demonstration.,මෙම උද් ration ෝෂණයට දහසකට ආසන්න පිරිසක් සහභාගී වූහ.
Neil Armstrong was the first astronaut to walk on the moon.,නිල් ආම්ස්ට්රෝං සඳ මත ඇවිදීමට පළමු ගගනගාමියා විය.
No less than three hundred dollars was needed for the work.,වැඩ සඳහා ඩොලර් තුන්සියයකට නොඅඩු ප්රමාණයක් අවශ්ය නොවීය.
"No matter how much I think about it, I can't understand it.","මම ඒ ගැන කොතරම් සිතන වුවත්, මට එය තේරුම් ගත නොහැක."
No sooner had we reached the station than it began to rain.,වැසි ඇද හැලුණු ප්රමාණයට වඩා වැඩි කල් නොගොස් අප දුම්රිය ස්ථානයට පැමිණියේ නැත.
Nobody noticed that she was absent until the meeting ended.,රැස්වීම අවසන් වන තුරු ඇය නොපැමිණි බව කිසිවෙකු දුටුවේ නැත.
Old people have difficulty understanding modern technology.,මහලු අයට නවීන තාක්ෂණය තේරුම් ගැනීමට අපහසු වේ.
"On second thought, I think I will have a slice of that pie.","දෙවන සිතුවිල්ලේ, මම හිතන්නේ මට ඒ පයි පෙත්තක් ඇත."
One of my brothers is a teacher and the others are lawyers.,මගේ එක් සහෝදරයෙක් ගුරුවරයෙක් වන අතර අනෙක් අය නීති yers යින් ය.
People are more conscious nowadays and choose healthy food.,මිනිසුන් වර්තමානයේ වඩාත් සවි conscious ානිකව සිටින අතර සෞඛ්ය සම්පන්න ආහාර තෝරා ගනී.
People have a tendency to underestimate their future needs.,ඔවුන්ගේ අනාගත අවශ්යතා අවතක්සේරු කිරීමේ ප්රවණතාවක් මිනිසුන්ට ඇත.
"Press the green button. If you do so, the light will go on.","හරිත බොත්තම ඔබන්න.ඔබ එසේ කරන්නේ නම්, ආලෝකය ඉදිරියට යනු ඇත."
Quite a few people couldn't recognize him in that disguise.,එම වෙස්වළාගෙන සිටින අයට ඔහුව හඳුනාගත නොහැකි විය.
Reporters do not hesitate to intrude into people's privacy.,ජනතා භටයින් ජනතාවගේ පෞද්ගලිකත්වයට ඇතුල් වීමට පසුබට නොවේ.
Scientists can easily compute the distance between planets.,විද්යා ists යින්ට ග්රහලෝක අතර දුර පහසුවෙන් ගණනය කළ හැකිය.
Sea otters love to eat clams while swimming on their backs.,මුහුදු ඔටුවන් තම පිටේ පිහිනන විට ක්ලෑම් කන්න කැමතියි.
Seventy or eighty years is the normal span of a man's life.,අවුරුදු හැත්තෑවක් හෝ අසූවක් යනු මිනිසෙකුගේ ජීවිතයේ සාමාන්ය කාලයයි.
She couldn't think what to give the children for Christmas.,නත්තලට ළමයින්ට දිය යුතු දේ ඇයට සිතා බැලිය නොහැක.
She embroidered her own initials on the white handkerchief.,ඇය සුදු පැහැති අත් ලේන්සුවක ඇගේම මුලකුරු එල්ල කළාය.
She practices the piano in the afternoon or in the evening.,ඇය දහවල් හෝ සවස් වරුවේ පියානෝව පුරුදු කරයි.
She said that she would follow him no matter where he went.,ඇය කොතැනට ගියත් ඇයව අනුගමනය කරන බව ඇය පැවසුවාය.
"She stole a lot of money from him, so now she is in prison.","ඇය ඔහුගෙන් විශාල මුදලක් සොරකම් කළා, ඉතින් දැන් ඇය හිරේ."
She was surprised to find many beautiful things in the box.,පෙට්ටියේ ඇති ලස්සන දේවල් බොහොමයක් සොයා ගැනීම ගැන ඇය පුදුමයට පත් විය.
Should I wait for you tomorrow in front of the opera house?,මම හෙට ඔපෙරා හවුස් ඉදිරිපිට හෙට ඔබ එනතුරු බලා සිටිය යුතුද?
"Since it's cold outside, you'd better put your overcoat on.","පිටත සීතල බැවින්, ඔබ ඔබේ අධික කබාය ක්රියාත්මක කිරීම හොඳය."
Some day you will come to realize the importance of saving.,යම් දවසක ඔබ ඉතිරි කිරීමේ වැදගත්කම අවබෝධ කර ගනු ඇත.
Some of these young people have legs twice as long as mine.,මෙම යෞවනයන්ගෙන් සමහරෙකුට මගේ තාක් මෙන් දෙගුණයක් කකුල් ඇත.
Someone who looks a lot like Tom is standing near the gate.,ටොම් වැනි බොහෝ දේ පෙනෙන අය ගේට්ටුව අසල සිටගෙන සිටිති.
"Sometimes we do what we have to do, not what we want to do.","සමහර විට අපි කළ යුතු දේ, අපට කිරීමට අවශ්ය දේ නොවේ."
"Sometimes when it's very cold, I can't get my car to start.","සමහර විට එය ඉතා සීතල වූ විට, මගේ මෝටර් රථය ආරම්භ කිරීමට මට නොහැකිය."
Spend your time wisely and you'll always have enough of it.,"ඔබේ කාලය ely ානවන්තව ගත කරන්න, එවිට ඔබට සෑම විටම එය ප්රමාණවත් වේ."
Stress can have an enormous negative impact on your health.,ආතතිය ඔබේ සෞඛ්යයට විශාල negative ණාත්මක බලපෑමක් ඇති කළ හැකිය.
Studying how to communicate effectively is time well spent.,Effectively ලදායී ලෙස සන්නිවේදනය කරන්නේ කෙසේද යන්න අධ්යයනය කිරීම හොඳය.
Sweating allows the human body to regulate its temperature.,දහඩිය දැමීම මිනිස් සිරුරට එහි උෂ්ණත්වය නියාමනය කිරීමට ඉඩ දෙයි.
Taking the group of children to the library was no problem.,ළමයින් කණ්ඩායම පුස්තකාලයට ගෙන යාම කිසිදු ගැටළුවක් නොවීය.
"Tears of joy streamed down Mary's face as Tom said, ""I do.""","ටොම් ""මම කරනවා"" කියා මරියාගේ මුහුණෙන් ප්රීතියෙන් කඳුළු ගලා ගියේය."
Tell Tom I'm not interested in the car he's trying to sell.,ටොම්ට කියන්න මම කාර් එක විකුණන්න උත්සාහ කරනවා කියලා.
Tell me the reason why you want to live in the countryside.,ඔබට ගම්බද ප්රදේශවල ජීවත් වීමට අවශ්ය වීමට හේතුව මට කියන්න.
Thank you very much for driving me all the way to my house.,මගේ ගෙදරට මාව අරගෙන යන්න ගොඩක් ස්තූතියි.
That author translated those fairy tales into our language.,එම කතුවරයා එම සුරංගනා කතා අපගේ භාෂාවට පරිවර්තනය කළේය.
That theater has a foreign film festival every other month.,එම රඟහල සෑම මාසයකම විදේශීය සිනමා උළෙලක් ඇති බව.
The Apollo program greatly advanced our knowledge of space.,ඇපලෝ වැඩසටහන අභ්යවකාශ පිළිබඳ අපගේ දැනුම බෙහෙවින් දියුණු කළේය.
The Sioux tribe asked the government to enforce the treaty.,සියොස් ගෝත්රය ගිවිසුම බලාත්මක කරන ලෙස රජයෙන් ඉල්ලා සිටියේය.
The Steve Miller Band released a new album in June of 2010.,ස්ටීව් මිලර් සංගීත කණ්ඩායම 2010 ජුනි මාසයේදී නව ඇල්බමයක් නිකුත් කළේය.
The ambulances carried the injured to the nearest hospital.,ගිලන්රථ තුවාල ලැබූවන් ළඟම ඇති රෝහලට ගෙන ගියේය.
"The artist, whose paintings you liked, is a friend of mine.","ඔබ කැමති චිත්ර ශිල්පී, ඔහුගේ සිතුවම් මගේ මිතුරෙකි."
The cherry blossom is to Japan what the rose is to England.,චෙරි මල ජපානයට ය. රෝස් එංගලන්තයට ය.
The construction of the building will be started next year.,ගොඩනැගිල්ලේ ඉදිකිරීම් ලබන වසරේදී ආරම්භ කෙරේ.
The crew is busy preparing for the voyage into outer space.,කාර්ය මණ්ඩලය මුහුදු ගමන සඳහා අභ්යවකාශයට සූදානම් වීම කාර්යබහුලයි.
The defense attorney asked for mercy for the condemned man.,ආරක්ෂක නීති orney වරයා හෙළා දකින ලද මිනිසා වෙනුවෙන් දයාව ඉල්ලා සිටියේය.
The doctor told Tom that he should eat a lot of vegetables.,වෛද්යවරයා ටොම්ට පැවසුවේ එළවළු ගොඩක් අනුභව කළ යුතු බවයි.
The door frame is warped and the door won't close properly.,දොර රාමුව වෙනස් වන අතර දොර නිසි ලෙස වසා දමන්නේ නැත.
The driver is responsible for the safety of the passengers.,මගීන්ගේ ආරක්ෂාව සඳහා රියදුරු වගකිව යුතුය.
The eagle soared majestically above the snow-covered peaks.,හිමෙන් ආවරණය වූ කඳු මුදුනට ඊගල් මැරුණේ.
The explosion was so powerful that the roof was blown away.,පිපිරීම කොතරම් බලවත්ද යත් වහලය ගසාගෙන ගියේය.
The fog was so thick that I couldn't see where I was going.,මීදුම හරිම thick නකම නිසා මම යන්නේ කොහේදැයි මට නොපෙනේ.
The grass is always greener on the other side of the fence.,තණකොළ වැටේ අනෙක් පැත්තේ සෑම විටම හරිතයි.
The guard thought they were joking until he saw their guns.,ඔවුන්ගේ තුවක්කු දුටු ඔවුන් විහිළු කරන බව මුරකරු සිතුවා.
"The instant he opened the door, he smelt something burning.","ක්ෂණික වූ ක්වොට් එක දොරක්, ඔහු යමක් දැවෙන විදියට ගඳ ගසයි."
The latest issue of the magazine will come out next Monday.,සඟරාවේ නවතම කලාපය ලබන සඳුදා එළිදැක්වීමට පැමිණෙනු ඇත.
The members of the jury listened carefully to the attorney.,ජූරි සභාවේ සාමාජිකයන් නීති orney වරයාට හොඳින් සවන් දුන්හ.
The mere idea of swimming across the river made me tremble.,ගඟ හරහා පිහිනීම පිළිබඳ හුදු අදහස මට වෙව්ලන්නට විය.
The mouse was lured into the trap by a big piece of cheese.,මූසිකය විශාල චීස් කැබැල්ලකින් උගුලට හසු විය.
The next song I'm going to sing is one I wrote last summer.,ඊළඟ ගීතය මම පසුගිය ගිම්හානයේදී ලිව්වා.
The old man was run over and immediately taken to hospital.,මහල්ලා දුව ගොස් වහාම රෝහල් ගත කර තිබේ.
The only useful answers are those that raise new questions.,එකම ප්රයෝජනවත් පිළිතුරු වන්නේ නව ප්රශ්න මතු කරන ඒවා ය.
The other day I went fishing for the first time in my life.,අනෙක් දවසේ මම මගේ ජීවිතයේ පළමු වතාවට මසුන් ඇල්ලීමට ගියෙමි.
"The painting looks great, but you hung it a little crooked.","සිතුවම විශිෂ්ටයි, නමුත් ඔබ එය ටිකක් වංක ලෙස එල්ලා තැබුවා."
The pig snorted while rooting around in search of truffles.,ට ru ෆ් සෙවීම සඳහා පෙරළීම අතරතුරදී igs රු ආවා.
The plane had already taken off when I reached the airport.,මම ගුවන් තොටුපළට ළඟා වූ විට ඒ වන විටත් ගුවන් යානය ඉවත් කර තිබුණි.
The police found evidence that the man committed the crime.,මිනිසා අපරාධය කළ බවට පොලිසිය සාක්ෂි තිබේ.
The police took some pictures of the scene of the accident.,පොලිසිය අනතුර සිදුවන ස්ථානයේ පින්තූර කිහිපයක් ගත්තේය.
The priest blessed the congregation at the end of the mass.,පූජකයාගේ ස්කන්ධය අවසානයේ සභාවට ආශීර්වාද කළේය.
The quality of their products has gone down over the years.,ඔවුන්ගේ නිෂ්පාදනවල ගුණාත්මකභාවය වසර ගණනාවක් තිස්සේ පහත වැටී ඇත.
The students pretended that they couldn't hear the teacher.,ගුරුවරයා ඔවුන්ට ගුරුවරයාට ඇසිය නොහැකි බව මවා පෑවේය.
The students stood up one by one and introduced themselves.,සිසුන් එකින් එක නැගී සිටම තමන්ව හඳුන්වා දුන්හ.
"The style is nice, but do you have it in a different color?","ශෛලිය හොඳයි, නමුත් ඔබට එය වෙනත් වර්ණයකින් තිබේද?"
"The sun was shining and it was warm, so I took the day off.",සූර්යයා බැබළුණු අතර එය උණුසුම් වූ නිසා මම දවස නිවාඩු ගත්තා.
The teacher caught the student cheating on the examination.,ගුරුවරයා ශිෂ්යයා විභාගය ගැන වංචා කළේය.
The voices coming from the jungle frightened the explorers.,කැලෑවෙන් එන හ ices වරු ගවේෂකයන් බියට පත් විය.
The weather was getting worse and worse as the day went on.,දවස ගෙවී යත්ම කාලගුණය නරක අතට හැරුණා.
"There are so many stars in the sky, I can't count them all.","අහසේ බොහෝ තරු ඇත, මට ඒවා සියල්ලම ගණන් කළ නොහැක."
"There are some misprints, but all in all, it's a good book.","සමහර වැරදි සලකුණු ඇත, නමුත් සියල්ල සියල්ලට ම, එය හොඳ පොතක්."
There is absolutely no way that I would go on a trip alone.,මම තනිවම ගමනක් යාමට ක්රමයක් නැත.
There was a crowd of people at the entrance of the theater.,රඟහලේ දොරටුව අසල මිනිසුන් සමූහයක් සිටියහ.
There was a large audience at the piano recital last night.,පියානෝව ප්රසංගයේදී ඊයේ රාත්රියේ විශාල ප්රේක්ෂක පිරිසක් සිටියහ.
There were many things that I didn't like about that movie.,ඒ චිත්රපටයට මා අකමැති බොහෝ දේ තිබුණි.
There were many things that Tom wanted Mary to do that day.,ටොම්ට එදින මේරි කිරීමට අවශ්ය බොහෝ දේ තිබුණි.
There were only a few patches of vegetation near the river.,ගඟ අසල ඇති වෘක්ෂලතාදිය පැච් කිහිපයක් පමණි.
There's a theory that dog owners often resemble their dogs.,සුනඛ හිමිකරුවන් බොහෝ විට තම සුනඛයන්ට සමාන බව න්යායක් තිබේ.
There's something very strange happening here in our house.,අපේ නිවසේ ඉතා අමුතු දෙයක් සිදුවෙමින් පවතී.
These programs had to be paid for by taxes from the people.,මෙම වැඩසටහන් ජනතාවගෙන් බදු මගින් ගෙවිය යුතුව තිබුණි.
They sounded the alarm when they saw the enemy approaching.,සතුරා ළඟා වන බව දුටු ඔවුන් අනතුරු ඇඟවීම ශබ්ද කළා.
They were all so tired that they could do nothing but yawn.,"ඔවුන් සියල්ලන්ම මහන්සියි, ඔවුන්ට කිසිවක් කළ නොහැක."
They won't be able to do anything about that problem today.,අද ඔවුන්ට එම ගැටලුව ගැන කිසිවක් කිරීමට නොහැකි වනු ඇත.
Things might've turned out better if you hadn't gone there.,ඔබ එහි ගොස් නොමැති නම් දේවල් වඩා හොඳ විය හැකිය.
This is going to be the hottest summer in thirty-six years.,මෙය අවුරුදු තිස් හයක් තුළ උණුසුම්ම ගිම්හානය වනු ඇත.
This is one of the dictionaries I told you about yesterday.,මෙය ඊයේ ගැන ඔබ ඔබට පැවසූ ශබ්ද කෝෂවලින් එකකි.
This is such an easy problem that any student can solve it.,ඕනෑම සිසුවෙකුට එය විසඳා ගත හැකි එතරම් පහසු ගැටළුවක්.
This is the house which was designed by a famous architect.,සුප්රසිද්ධ ගෘහ නිර්මාණ ශිල්පියෙකු විසින් නිර්මාණය කරන ලද නිවස මෙයයි.
"This looks longer than that, but it is an optical illusion.",මෙය ඊට වඩා වැඩි යමක් පෙනෙන්නට තිබුණත් එය දෘශ්ය මායාවක්.
This watch needs to be repaired. It gains 20 minutes a day.,මෙම ඔරලෝසුව අලුත්වැඩියා කළ යුතුය.එය දිනකට මිනිත්තු 20 ක් ලබා ගනී.
Three-fourths of the earth's surface is covered with water.,පෘථිවි පෘෂ් on යෙන් හතරෙන් තුනක්ම ජලයෙන් වැසී ඇත.
"Tom adjusted the seat, put in the key, and then drove away.","ටොම් ආසනය සකස් කර, යතුරට දමා, පසුව පැන්නා."
Tom almost always uses a credit card when he goes shopping.,ටොම් සෑම විටම පාහේ ක්රෙඩිට් කාඩ්පතක් සාප්පු සවාරි යන විට ක්රෙඩිට් කාඩ්පතක් භාවිතා කරයි.
Tom and Mary were out on the balcony at two in the morning.,ටොම් සහ මරියා උදේ දෙකට බැල්කනියේ සිටියා.
Tom and Mary were still sleeping when John left for school.,ජෝන් පාසල සඳහා පිටත්ව යන විට ටොම් සහ මරියා නිදාගෙන සිටියහ.
Tom asked Mary about the accident that she was involved in.,ටොම් මරියා මරියා මරියා මගෙන් ඇහුවා ඇය සම්බන්ධ අනතුර ගැන.
Tom began to believe that he'd never be able to walk again.,ටොම් තමාට කිසි විටෙකත් ඇවිදීමට නොහැකි බව විශ්වාස කිරීමට පටන් ගත්තේය.
Tom can play the harmonica and the guitar at the same time.,ටොම්ට එකවර හාර්මෝනිකා සහ ගිටාරය වාදනය කළ හැකිය.
Tom can swim faster than anyone else in his swimming class.,ටොම්ට ඔහුගේ පිහිනුම් පන්තියේ අන් සියල්ලන්ට වඩා වේගයෙන් පිහිනීමට හැකිය.
Tom can't carry all those suitcases so you should help him.,ටොම්ට ඒ සියලු සූට්කේස් රැගෙන යා නොහැකි බැවින් ඔබ ඔහුට උදව් කළ යුතුය.
